strain,BOX_NB,SPOT,MORPHOLOGY SUBSTRATE MYCELIUM,MORPHOLOGY AERIAL MYCELIUM/SPORES,"CATEGORY (1 THE FAST SPORULATERS, 2 THE SLOW)",RDP_NCBI_closest_hit,NCBI_taxid,SPECIES,NOTES,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,MEDIUM,SAMPLE,SEQUENCING,NEEDED TO BE SEQUENCED/RESEQUENCED,SCREENED OR NOT (1 or 0),REASON FOR REMOVAL FROM COLLECTION (IF 0),not_screened
AR038b,1,28,orange - pink,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR040,1,29,orange - brown,white,Category 2,Streptomyces umbrinus,67370,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR044,1,32,yellow - grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR045,1,33,dark red - black,"white, slow sporulation",Category 2,Streptomyces umbrinus,67370,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,1,1,NA,NA
AR050,1,34,grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AR,X,NA,1,NA,NA
AR062,1,35,grey,grey - dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR064,1,36,yellow - grey,white,Category 2,Streptomyces globisporus,1908,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR065,1,37,yellow - grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR069,1,38,yellow - grey,grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR072,1,39,yellow - grey,white - light grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR082,1,40,yellow,light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR083b,1,41,"grey, darker in some spots where colonies not defined",dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR083c,1,42,yellow - grey,white,Category 2,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR083d,1,43,yellow,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR085,1,44,"grey, darker in some spots where colonies not defined",dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AR,X,NA,1,NA,NA
AR091,1,45,"grey, darker in some spots where colonies not defined",dark grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
