"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"AS057","Arthrobacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS058","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS059","Enterobacter cloacae","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS060","Achromobacter xylosoxidans","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS061","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS062","Pseudomonas fluorescens","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS063","Pseudomonas koreensis","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS064","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS065",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS066",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS067",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS067b",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS068",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS069",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS070","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS071","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS072","Enterobacter cloacae","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS073","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS074","Rhodococcus jostii","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS075","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS076","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS077","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS078","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS079","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS080","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS081","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS082","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS083","Staphylococcus pasteuri","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS084",NA,NA,NA,NA,NA,NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS085","Advenella sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS086","Microbacterium oxydans","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS087","Achromobacter xylosoxidans","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA,"ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS088","Gordonia terrae","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS089","Pseudomonas putida","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS090","Pseudomonas putida","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS091","Tsukamurella pseudospumae","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS091F","Streptomyces griseoaurantiacus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS092","Arthrobacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS093","Variovorax paradoxus","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Nys","AS","Innovator","Rhizosphere soil"
"AS094","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS095","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS096","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS097","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS098a","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS098b","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS099","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS100","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS101","Bacillus licheniformis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS102",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS103","Brevibacterium antiquum","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS104","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS105","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS106",NA,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS107","Nocardia carnea strain TS24","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS108","Nocardioides luteus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS109","Rhodococcus erythropolis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS110","Brevibacterium antiquum","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS111","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS112","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS113","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS114","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS115","Streptomyces microflavus strain JZY1-53","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS116","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS117",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS118","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS119","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS120",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS121a","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS121b","Nocardioides sp.","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS121c","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS121d",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS122","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS123","Bacillus firmus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS124","Plantibacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Plantibacter","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS125",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS126",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS127","Nocardia carnea","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS128",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS129",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS130",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS131","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS132","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS133","Nocardoides albus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS134","Tsukamurella pseudospumae","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS135","See seq15","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS136","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS137",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS138",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS139a","Streptomyces coelicolor strain M1154/pAMX4/pGP1416","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS140a","Streptomyces lienomycini","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS140b","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS141","Streptomyces graminearus strain NM1","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS142","Streptomyces coelicolor strain M1154/pAMX4/pGP1416","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS143","Streptomyces graminearus strain NM1","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS144","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS145","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS146","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AS","Innovator","Rhizosphere soil"
"AS147",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS148",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS149",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS150",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS151",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS152",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS153",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS154",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS155",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS156","Sphingobacterium multivorum","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS157",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS158",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS159",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS160",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS161",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS162",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS163",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS164",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS165",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS166",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS167",NA,NA,NA,NA,NA,NA,"PDA",NA,"AS","Innovator","Rhizosphere soil"
"AS168",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS169",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS170",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS171",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS172",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS173",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS174",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS174bis",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS175","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS175b","Pedoacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS176","Pseudomonas helmanticensis","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS177",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS178","Phyllobacterium myrsinacearum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS179","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS180","Vavivorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS181","Vavivorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS182","Vavivorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS183",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"AS184",NA,NA,NA,NA,NA,NA,"ARE","Ab","AS","Innovator","Rhizosphere soil"
"BL001",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL002",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL003",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL004",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL005",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL006",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL007",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL008",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL009",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL010",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL011",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL012",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL013",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL014",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL015",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL016",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL017",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL018",NA,NA,NA,NA,NA,NA,"PDA",NA,"BL","Bintje","Leaf"
"BL019",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL020",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL021",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL022",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL023",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL024",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL025",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL026",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL027",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL028",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL029",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL030",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL031",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL032",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL033",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL034",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL035",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL036",NA,NA,NA,NA,NA,NA,"ARE","Ab","BL","Bintje","Leaf"
"BL037","Caulobacter segnis","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","ActIA",NA,"BL","Bintje","Leaf"
"BL038","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BL","Bintje","Leaf"
"BL039","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ActIA",NA,"BL","Bintje","Leaf"
"BL040a","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BL","Bintje","Leaf"
"BL040b","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BL","Bintje","Leaf"
"BL041",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BL","Bintje","Leaf"
"BL042",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BL","Bintje","Leaf"
"BL043","Caulobacter segnis","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","ActIA",NA,"BL","Bintje","Leaf"
"BL044","Caulobacter segnis","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","ActIA",NA,"BL","Bintje","Leaf"
"BL045","Rhizobium nepotum 39/7","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ActIA",NA,"BL","Bintje","Leaf"
"BL046","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BL","Bintje","Leaf"
"BL047a","Nocardioides albus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"BL","Bintje","Leaf"
"BL047b","Micromonospora sp.","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","ActIA",NA,"BL","Bintje","Leaf"
"BL047c","Micromonospora sp.","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","ActIA",NA,"BL","Bintje","Leaf"
"BL048","Paenibacillus barengoltzii","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","ActIA",NA,"BL","Bintje","Leaf"
"BL049","[Brevibacterium] frigoritolerans","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BL","Bintje","Leaf"
"BL050","Rhodococcus kroppenstedtii","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"BL","Bintje","Leaf"
"BL051","Staphylococcus saprophyticus","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","TSA",NA,"BL","Bintje","Leaf"
"BL052","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BL","Bintje","Leaf"
"BL053","Clavibacter michiganensis subsp. insidiosus","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter","TSA",NA,"BL","Bintje","Leaf"
"BL054","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","TSA",NA,"BL","Bintje","Leaf"
"BL055",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL056","Plantibacter flavus","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Plantibacter","TSA",NA,"BL","Bintje","Leaf"
"BL057","Bacillus haynesii","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BL","Bintje","Leaf"
"BL058",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BL","Bintje","Leaf"
"BL059",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL060",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
